Company_names,Ratings,Reviews,Company_type,Head_Quarters,Company_age,Employee
TCS,3.9,(49.6k Reviews),Public,"Mumbai,Maharashtra + 268 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(31.9k Reviews),Public,Dublin + 131 more,33 years old,1 Lakh+ Employees (India)
Cognizant,4.0,(29.4k Reviews),Private,Teaneck. New Jersey. + 101 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(33.2k Reviews),Public,"Mumbai,Maharashtra + 1050 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(38.7k Reviews),Public,"Mumbai,Maharashtra + 1233 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 223 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 123 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(23.6k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.3k Reviews),Public,"Pune,Maharashtra + 210 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(19.1k Reviews),Public,"New York,New York + 67 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.2k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington + 374 more",28 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(18.4k Reviews),Public,"Mumbai,Maharashtra + 1090 more",29 years old,1 Lakh+ Employees (India)
IBM,4.2,(15.2k Reviews),Public,"Armonk,New York + 118 more",111 years old,1 Lakh+ Employees (India)
Concentrix Corpo...,4.0,(14.8k Reviews),Public,"Fremont,California + 70 more",39 years old,10k-50k Employees (India)
Reliance jio,4.0,(14.4k Reviews),Public,"Navi Mumbai,Maharashtra + 980 more",15 years old,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.1,(23.8k Reviews),Public,"Mumbai,Maharashtra + 520 more",76 years old,10k-50k Employees (India)
HDB Financial Se...,4.0,(13.2k Reviews),Private,"Ahmedabad,Gujrat + 788 more",15 years old,1 Lakh+ Employees (India)
Vodafone Idea,4.2,(13.1k Reviews),Public,"Gandhinagar,Gujrat + 561 more",4 years old,10k-50k Employees (India)
Teleperformance,3.6,(14.2k Reviews),Private,Paris + 122 more,44 years old,50k-1 Lakh Employees (India)
Kotak Mahindra B...,3.9,(13.3k Reviews),Public,"Mumbai,Maharashtra + 471 more",19 years old,50k-1 Lakh Employees (India)
Reliance Retail,4.1,(16k Reviews),Private,"Navi Mumbai,Maharashtra + 683 more",16 years old,1 Lakh+ Employees (India)
Deloitte,4.1,(10.2k Reviews),Private,"New York,New York + 128 more",177 years old,50k-1 Lakh Employees (India)
Reliance Industr...,4.1,(43.1k Reviews),Public,"Navi Mumbai,Maharashtra + 496 more",49 years old,1 Lakh+ Employees (India)
Bharti Airtel,4.1,(12.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 517 more",27 years old,10k-50k Employees (India)
Tata Motors,4.1,(11.7k Reviews),Public,"Pune,Maharashtra + 383 more",77 years old,10k-50k Employees (India)
BYJU'S,3.5,(12.6k Reviews),Private,"Bangalore,Karnataka + 250 more",11 years old,1k-5k Employees (India)
Flipkart,4.2,(11.4k Reviews),Public,"Bangalore,Karnataka + 441 more",15 years old,50k-1 Lakh Employees (India)
WNS,3.7,(6.9k Reviews),Private,"Mumbai,Maharashtra + 24 more",26 years old,10k-50k Employees (India)
Mahindra & Mahin...,3.9,(38.5k Reviews),Public,"Mumbai,Maharashtra + 414 more",77 years old,1 Lakh+ Employees (India)
